# docId	iri	latestSearchDate	lastUpdated	lastAuthor	context	contextIri	release	gene	geneOmim	disease	omim	mondo	consensusAssertion	status-assertion	status-overall	status-stg1
AC1041	/AC1041	NA	Fri, 15 Oct 2021 00:41:48 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1041	1.0.1	BCKDHA	608348	Maple Syrup Urine Disease	248600	0009563	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1041	/AC1041	NA	Fri, 15 Oct 2021 00:41:48 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1041	1.0.1	BCKDHB	248611	Maple Syrup Urine Disease	248600	0009563	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1041	/AC1041	NA	Fri, 15 Oct 2021 00:41:48 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1041	1.0.1	DBT	248610	Maple Syrup Urine Disease	248600	0009563	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1028	/AC1028	Tue May 04 00:00:00 UTC 2021	Fri, 27 Aug 2021 21:19:31 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1028	1.0.1	ASL	608310	Argininosuccinate Lyase Deficiency	207900	0008815	N/A - Insufficient evidence: early rule-out	Complete	Released	Failed
AC1025	/AC1025	Mon Jun 07 00:00:00 UTC 2021	Fri, 13 Aug 2021 16:47:08 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1025	1.0.3	FOLR1	136430	Neurodegeneration due to cerebral folate transport deficiency	613068	0013110	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC130	/AC130	NA	Thu, 04 Apr 2019 16:35:07 -0000	Administrator Account Genboree	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC130	2.0.0	SDHB	185470	Hereditary Paragangliomas- Pheochromocytoma Syndrome (Paragangliomas 4)	115310		Assertion Pending	Incomplete	Retracted	Incomplete
AC1013	/AC1013	Tue Jun 20 00:00:00 UTC 2017	Wed, 19 Aug 2020 23:15:14 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1013	1.0.1	IVD	607036	Isovaleric acidemia	243500	0009475	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1024	/AC1024	Tue Mar 09 00:00:00 UTC 2021	Mon, 02 Aug 2021 21:10:32 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1024	1.0.0	SMARCA4	603254	Rhabdoid tumor predisposition syndrome	613325	0016473	Limited Actionability	Complete	Released	Complete
AC1024	/AC1024	Tue Mar 09 00:00:00 UTC 2021	Mon, 02 Aug 2021 21:10:32 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1024	1.0.0	SMARCB1	601607	Rhabdoid tumor predisposition syndrome	609322	0016473	N/A - Insufficient evidence: expert review	Complete	Released	Complete
AC1010	/AC1010	Mon Nov 25 00:00:00 UTC 2019	Mon, 11 Jan 2021 20:53:28 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1010	1.0.3	GALNS	612222	Mucopolysaccharidosis Type IVA	253000	0009659	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1020	/AC1020	Mon Oct 12 00:00:00 UTC 2020	Mon, 29 Mar 2021 20:44:56 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1020	1.0.1	PIK3R1	171833	SHORT syndrome	269880	0010026	Moderate Actionability	Complete	Released	Complete
AC150	/AC150	Tue Mar 10 00:00:00 UTC 2015	Fri, 15 Jan 2021 20:45:35 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC150	1.1.2	MAX	154950	Paragangliomas 1, 2, 3, 4, 5; Pheochromocytoma	171300	0017366	Assertion Pending	Complete	Released	Complete
AC150	/AC150	Tue Mar 10 00:00:00 UTC 2015	Fri, 15 Jan 2021 20:45:35 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC150	1.1.2	SDHA	600857	Paragangliomas 1, 2, 3, 4, 5; Pheochromocytoma	614165	0017366	Assertion Pending	Complete	Released	Complete
AC150	/AC150	Tue Mar 10 00:00:00 UTC 2015	Fri, 15 Jan 2021 20:45:35 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC150	1.1.2	SDHAF2	613019	Paragangliomas 1, 2, 3, 4, 5; Pheochromocytoma	601650	0017366	Assertion Pending	Complete	Released	Complete
AC150	/AC150	Tue Mar 10 00:00:00 UTC 2015	Fri, 15 Jan 2021 20:45:35 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC150	1.1.2	SDHB	185470	Paragangliomas 1, 2, 3, 4, 5; Pheochromocytoma	115310	0017366	Assertion Pending	Complete	Released	Complete
AC150	/AC150	Tue Mar 10 00:00:00 UTC 2015	Fri, 15 Jan 2021 20:45:35 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC150	1.1.2	SDHC	602413	Paragangliomas 1, 2, 3, 4, 5; Pheochromocytoma	605373	0017366	Assertion Pending	Complete	Released	Complete
AC150	/AC150	Tue Mar 10 00:00:00 UTC 2015	Fri, 15 Jan 2021 20:45:35 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC150	1.1.2	SDHD	602690	Paragangliomas 1, 2, 3, 4, 5; Pheochromocytoma	168000	0017366	Assertion Pending	Complete	Released	Complete
AC150	/AC150	Tue Mar 10 00:00:00 UTC 2015	Fri, 15 Jan 2021 20:45:35 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC150	1.1.2	TMEM127	613403	Paragangliomas 1, 2, 3, 4, 5; Pheochromocytoma	171300	0017366	Assertion Pending	Complete	Released	Complete
AC095	/AC095	Wed Sep 14 00:00:00 UTC 2016	Wed, 19 Aug 2020 18:52:09 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC095	1.2.1	HMBS	609806	Acute Intermittent Porphyria	176000	0008294	Assertion Pending	Incomplete	Released	Complete
AC1012	/AC1012	Tue Jul 09 00:00:00 UTC 2019	Wed, 19 Aug 2020 23:09:06 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1012	1.0.1	SPRED1	609291	Legius syndrome	611431	0012669	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC127	/AC127	Tue Sep 19 00:00:00 UTC 2017	Thu, 16 Apr 2020 16:44:57 -0000	Goddard Katrina	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC127	1.1.1	ATM	607585	Breast Cancer	114480	0016419	Assertion Pending	Incomplete	Released	Incomplete
AC127	/AC127	Tue Sep 19 00:00:00 UTC 2017	Thu, 16 Apr 2020 16:44:57 -0000	Goddard Katrina	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC127	1.1.1	CHEK2	604373	Breast Cancer	114480	0016419	Assertion Pending	Incomplete	Released	Incomplete
AC1005	/AC1005	Thu Jan 30 00:00:00 UTC 2020	Fri, 14 May 2021 20:46:04 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1005	1.0.0	FGFR3	134934	Achondroplasia	100800	0007037	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1011	/AC1011	Tue Dec 03 00:00:00 UTC 2019	Wed, 19 Aug 2020 23:00:10 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1011	1.0.1	DHCR7	602858	Smith-Lemli-Optiz Syndrome	270400	0010035	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1022	/AC1022	Sat Dec 26 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:37:31 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1022	1.0.1	CPT2	600650	Carnitine palmitoyltransferase II deficiency	255110	0015515	Moderate Actionability	Complete	Released	Complete
AC1022	/AC1022	Sat Dec 26 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:37:31 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1022	1.0.1	CPT2	600650	Carnitine palmitoyltransferase II deficiency	600649	0015515	Moderate Actionability	Complete	Released	Complete
AC1022	/AC1022	Sat Dec 26 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:37:31 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1022	1.0.1	CPT2	600650	Carnitine palmitoyltransferase II deficiency	608836	0015515	Moderate Actionability	Complete	Released	Complete
AC1004	/AC1004	Tue Aug 06 00:00:00 UTC 2019	Mon, 29 Mar 2021 21:58:37 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1004	1.0.2	PRKAR1A	188830	Carney Complex	160980	0008057	Moderate Actionability	Complete	Released	Complete
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	BRAF	164757	Noonan syndrome	613706	0013379	Assertion Pending	Incomplete	Released	Complete
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	KRAS	190070	Noonan syndrome	609942	0012371	Assertion Pending	Incomplete	Released	Complete
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	NRAS	164790	Noonan syndrome	613224	0013186	Assertion Pending	Incomplete	Released	Complete
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	PTPN11	176876	Noonan syndrome	163950	0008104	Assertion Pending	Incomplete	Released	Complete
