date	filename	project	datatype	size_GB	data_purpose	fileuse
20200212	reference_population_1_genotypes	dsc	genotype	1.4	analysis	Yes
20200212	reference_population_2_genotypes	dsc	genotype	2	reference	Yes
20200212	reference_population_3_genotypes	dsc	genotype	1.1	reference	No
20200216	imputation_panle_1	dsc	genotype	6	reference	Yes
20200216	imputation_panle_2	dsc	genotype	6	reference	Yes
20200216	imputation_panle_3	dsc	genotype	6	reference	No
20200212	deepspace_crew_001_genotypes	dsc	genotype	2	analysis	Yes
20200321	deepspace_crew_001_wgs	dsc	genome_sequence	2850	analysis	Yes
20200402	deepspace_crew_001_clinical_history	dsc	clinical	1.2	analysis	Yes
20200403	threshold_values_clinical_history	dsc	clinical	0.4	reference	Yes
20200404	predicted_clinical_history	dsc	clinical	0.8	reference	Yes
20200407	imputed_clinical_history	dsc	clinical	0.8	reference	No
20200408	deepspace_crew_001_clinical_serology	dsc	serology	0.5	analysis	Yes
20200410	reference_clinical_serology	dsc	serology	4.5	reference	Yes
20200410	predicted_clinical_serology	dsc	serology	3.1	reference	Yes
20200415	pediatric_clinical_serology	dsc	serology	1.2	reference	No
20200513	deepspace_crew_001_wgs_10kx_somaticv1	dsc	somatic_genome	20000	analysis	Yes
20200516	reference_wgs_10kx_somatic	dsc	somatic_genome	2.2	reference	Yes
20200518	predicted_wgs_10kx_somatic	dsc	somatic_genome	1.4	reference	Yes
20200519	reference_observed_expected_wgs_10kx_somatic	dsc	somatic_genome	4.2	reference	Yes
20200513	deepspace_crew_001_wes_10kx_somaticv1.2	dsc	somatic_panel	20000	analysis	Yes
20210501	deepspace_crew_001_wgs_10kx_somaticv2	dsc	somatic_genome	20000	analysis	Yes
20220401	deepspace_crew_001_wgs_10kx_somaticv3	dsc	somatic_genome	20000	analysis	Yes
20220721	deepspace_crew_001_wes_10kx_somaticv3.2	dsc	somatic_panel	15000	analysis	Yes
20200514	expected_somaticv1.2	dsc	somatic_panel	2.1	reference	Yes
20210502	expected_somaticv2	dsc	somatic_genome	1.2	reference	Yes
20220402	expected_somaticv3	dsc	somatic_genome	1.5	reference	No
20220722	expected_somaticv3.2	dsc	somatic_panel	1.3	reference	No
20200624	svd_training_datav1	dsc	somatic_panel	4.4	reference	Yes
20210802	svd_training_datav2	dsc	somatic_panel	4.4	reference	No
20211127	pathogen_antigens	dsc	immunology	8.4	reference	Yes
20211128	commensal_antigens	dsc	immunology	8.4	reference	Yes
20220515	pathogen_antigens	dsc	immunology	4.4	reference	Yes
20220516	commensal_antigens	dsc	immunology	4.4	reference	Yes
20210301	deepspace_crew_001_clinical_serology	dsc	serology	0.5	analysis	Yes
20210309	reference_clinical_serology	dsc	serology	4.5	reference	Yes
20210309	predicted_clinical_serology	dsc	serology	3.1	reference	Yes
20210312	pediatric_clinical_serology	dsc	serology	1.2	reference	No
20200608	reference_rnaseq_population_1	dsc	rna_expression	420	reference	Yes
20200608	reference_rnaseq_population_2	dsc	rna_expression	130	reference	Yes
20200608	reference_rnaseq_population_3	dsc	rna_expression	320	reference	No
20210501	training_data_rnaseq_population_1	dsc	rna_expression	680	reference	Yes
20210501	training_data_rnaseq_population_2	dsc	rna_expression	680	reference	Yes
20210501	training_data_rnaseq_population_3	dsc	rna_expression	680	reference	No
20200612	deepspace_crew_001_rnaseqv1.2	dsc	rna_expression	11000	analysis	Yes
20210605	deepspace_crew_001_rnaseqv2	dsc	rna_expression	12000	analysis	Yes
20220503	deepspace_crew_001_rnaseqv3	dsc	rna_expression	11000	analysis	Yes
20220814	deepspace_crew_001_rnaseqv3.2	dsc	rna_expression	10000	analysis	Yes
