# docId	topicIri	latestSearchDate	lastUpdated	lastAuthor	context	contextIri	release	releaseDate	gene	geneOmim	disease	omim	status-overall	status-stg1	status-stg2	status-scoring	outcome	outcomeScoringGroup	intervention	interventionScoringGroup	severity	likelihood	natureOfIntervention	effectiveness	overall
AC1041	/AC1041	NA	Fri, 15 Oct 2021 00:41:48 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1041	1.0.1	Thu, 14 Oct 2021 00:00:00 -0000	BCKDHA	608348	Maple Syrup Urine Disease	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1041	/AC1041	NA	Fri, 15 Oct 2021 00:41:48 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1041	1.0.1	Thu, 14 Oct 2021 00:00:00 -0000	BCKDHB	248611	Maple Syrup Urine Disease	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1041	/AC1041	NA	Fri, 15 Oct 2021 00:41:48 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1041	1.0.1	Thu, 14 Oct 2021 00:00:00 -0000	DBT	248610	Maple Syrup Urine Disease	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1028	/AC1028	Tue May 04 00:00:00 UTC 2021	Fri, 27 Aug 2021 21:19:31 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1028	1.0.1	Fri, 27 Aug 2021 00:00:00 -0000	ASL	608310	Argininosuccinate Lyase Deficiency	(No paired disease(s) for gene)	Released	Failed	Complete	Complete		N/A		N/A					
AC1025	/AC1025	Mon Jun 07 00:00:00 UTC 2021	Fri, 13 Aug 2021 16:47:08 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1025	1.0.3	Fri, 13 Aug 2021 00:00:00 -0000	FOLR1	136430	Neurodegeneration due to cerebral folate transport deficiency	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC130	/AC130	NA	Thu, 04 Apr 2019 16:35:07 -0000	Administrator Account Genboree	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC130	2.0.0	Thu, 04 Apr 2019 00:00:00 -0000	SDHB	185470	Hereditary Paragangliomas- Pheochromocytoma Syndrome (Paragangliomas 4)	(No paired disease(s) for gene)	Retracted	Incomplete	Incomplete	Incomplete	Paraganglioma development	N/A	Surveillance	N/A	2	3C	3	2C	10CC
AC1013	/AC1013	Tue Jun 20 00:00:00 UTC 2017	Wed, 19 Aug 2020 23:15:14 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1013	1.0.1	Wed, 19 Aug 2020 00:00:00 -0000	IVD	607036	Isovaleric acidemia	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1024	/AC1024	Tue Mar 09 00:00:00 UTC 2021	Mon, 02 Aug 2021 21:10:32 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1024	1.0.0	Mon, 02 Aug 2021 00:00:00 -0000	SMARCA4	603254	Rhabdoid tumor predisposition syndrome	613325	Released	Complete	Complete	Complete	Morbidity and mortality from RTPS-related tumors	GroupA	Imaging surveillance to guide detection and initiate multimodal treatment (including a combination of surgery, chemotherapy, and/or radiation therapy)	GroupA	2	0D	2	0D	4DD
AC1024	/AC1024	Tue Mar 09 00:00:00 UTC 2021	Mon, 02 Aug 2021 21:10:32 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1024	1.0.0	Mon, 02 Aug 2021 00:00:00 -0000	SMARCB1	601607	Rhabdoid tumor predisposition syndrome	609322	Released	Complete	Complete	Complete	Morbidity and mortality from RTPS-related tumors	GroupA	Imaging surveillance to guide detection and initiate multimodal treatment (including a combination of surgery, chemotherapy, and/or radiation therapy)	GroupA	2	0D	2	0D	4DD
AC1010	/AC1010	Mon Nov 25 00:00:00 UTC 2019	Mon, 11 Jan 2021 20:53:28 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1010	1.0.3	Mon, 11 Jan 2021 00:00:00 -0000	GALNS	612222	Mucopolysaccharidosis Type IVA	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
