# docId	topicIri	latestSearchDate	lastUpdated	lastAuthor	context	contextIri	release	releaseDate	gene	geneOmim	disease	omim	status-overall	status-stg1	status-stg2	status-scoring	outcome	outcomeScoringGroup	intervention	interventionScoringGroup	severity	likelihood	natureOfIntervention	effectiveness	overall
AC1041	/AC1041	Mon Jun 28 00:00:00 UTC 2021	Wed, 20 Oct 2021 22:42:21 -0000	Gilmore Mari	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1041	1.0.0	Wed, 20 Oct 2021 00:00:00 -0000	DBT	248610	Maple Syrup Urine Disease	248600	Released	Complete	Complete	Complete	Morbidity and mortality associated with metabolic decompensation	GroupA	Metabolic management (dietary management and illness protocols)	GroupA	2	3D	2	2B	9DB
AC1041	/AC1041	Mon Jun 28 00:00:00 UTC 2021	Wed, 20 Oct 2021 22:42:21 -0000	Gilmore Mari	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1041	1.0.0	Wed, 20 Oct 2021 00:00:00 -0000	BCKDHA	608348	Maple Syrup Urine Disease	248600	Released	Complete	Complete	Complete	Morbidity and mortality associated with metabolic decompensation	GroupA	Metabolic management (dietary management and illness protocols)	GroupA	2	3D	2	2B	9DB
AC1041	/AC1041	Mon Jun 28 00:00:00 UTC 2021	Wed, 20 Oct 2021 22:42:21 -0000	Gilmore Mari	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1041	1.0.0	Wed, 20 Oct 2021 00:00:00 -0000	BCKDHB	248611	Maple Syrup Urine Disease	248600	Released	Complete	Complete	Complete	Morbidity and mortality associated with metabolic decompensation	GroupA	Metabolic management (dietary management and illness protocols)	GroupA	2	3D	2	2B	9DB
AC1040	/AC1040	Wed Jun 02 00:00:00 UTC 2021	Thu, 16 Sep 2021 18:16:59 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1040	1.0.0	Thu, 16 Sep 2021 00:00:00 -0000	KIT	164920	Gastrointestinal stromal tumor	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1040	/AC1040	Wed Jun 02 00:00:00 UTC 2021	Thu, 16 Sep 2021 18:16:59 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1040	1.0.0	Thu, 16 Sep 2021 00:00:00 -0000	PDGFRA	173490	Gastrointestinal stromal tumor	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1028	/AC1028	Tue May 04 00:00:00 UTC 2021	Thu, 19 Aug 2021 17:07:05 -0000	Hunter Jessica	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1028	1.0.0	Thu, 19 Aug 2021 00:00:00 -0000	ASL	608310	Argininosuccinate Lyase Deficiency	207900	Released	Complete	Complete	Complete	Morbidity and mortality due to hyperammonemic crises	GroupA	Referral to specialty team to guide dietary management and arginine and emergency management to mitigate hyperammonemic crises	GroupA	2	3N	2	2C	9NC
AC1025	/AC1025	Mon Jun 07 00:00:00 UTC 2021	Wed, 15 Sep 2021 22:36:02 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1025	1.0.4	Wed, 15 Sep 2021 00:00:00 -0000	FOLR1	136430	Neurodegeneration due to cerebral folate transport deficiency	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1013	/AC1013	Mon Dec 16 00:00:00 UTC 2019	Wed, 19 Aug 2020 23:15:14 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1013	1.0.1	Wed, 19 Aug 2020 00:00:00 -0000	IVD	607036	Isovaleric acidemia	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1024	/AC1024	Tue Mar 09 00:00:00 UTC 2021	Wed, 21 Jul 2021 21:05:37 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1024	1.0.0	Wed, 21 Jul 2021 00:00:00 -0000	SMARCA4	603254	Rhabdoid tumor predisposition syndrome	613325	Released	Complete	Complete	Complete	Morbidity and mortality from RTPS-related tumors	GroupA	Imaging surveillance to guide detection and initiate multimodal treatment (including a combination of surgery, chemotherapy, and/or radiation therapy)	GroupA	2	0D	2	2D	6DD
AC1024	/AC1024	Tue Mar 09 00:00:00 UTC 2021	Wed, 21 Jul 2021 21:05:37 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1024	1.0.0	Wed, 21 Jul 2021 00:00:00 -0000	SMARCB1	601607	Rhabdoid tumor predisposition syndrome	609322	Released	Complete	Complete	Complete	Morbidity and mortality from RTPS-related tumors	GroupA	Imaging surveillance to guide detection and initiate multimodal treatment (including a combination of surgery, chemotherapy, and/or radiation therapy)	GroupA	2	0D	2	2D	6DD
AC1010	/AC1010	Wed May 20 00:00:00 UTC 2020	Wed, 17 Mar 2021 21:49:21 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1010	1.0.1	Wed, 17 Mar 2021 00:00:00 -0000	GALNS	612222	Mucopolysaccharidosis Type IVA	253000	Released	Complete	Complete	Complete	Functional somatic manifestations (as defined by quantitative measures of pulmonary function and 6-minute walk test)	GroupA	Enzyme replacement therapy (ERT) with elosulfase alfa	GroupA	2	3C	2	2A	9CA
AC1010	/AC1010	Wed May 20 00:00:00 UTC 2020	Wed, 17 Mar 2021 21:49:21 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1010	1.0.1	Wed, 17 Mar 2021 00:00:00 -0000	GALNS	612222	Mucopolysaccharidosis Type IVA	253000	Released	Complete	Complete	Complete	Early mortality	GroupA	Enzyme replacement therapy (ERT) with elosulfase alfa	GroupA	2	3C	2	0D	7CD
