"CLINGEN DOSAGE SENSITIVITY CURATIONS","","","","",""
"FILE CREATED: 2021-11-24","","","","",""
"WEBPAGE: https://search.clinicalgenome.org/kb/gene-dosage","","","","",""
"+++++++++++","+++++++","++++++++++++++++++","+++++++++++++++++","+++++++++++++","++++"
"GENE SYMBOL","HGNC ID","HAPLOINSUFFICIENCY","TRIPLOSENSITIVITY","ONLINE REPORT","DATE"
"+++++++++++","+++++++","++++++++++++++++++","+++++++++++++++++","+++++++++++++","++++"
"A4GALT","HGNC:18149","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=A4GALT&subject=","2014-12-11T15:51:23Z"
"AAGAB","HGNC:25662","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AAGAB&subject=","2013-02-28T20:17:25Z"
"AARS1","HGNC:20","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AARS1&subject=","2018-01-11T20:05:45Z"
"AARS2","HGNC:21022","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AARS2&subject=","2016-08-22T17:45:34Z"
"AASS","HGNC:17366","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AASS&subject=","2016-08-22T17:45:36Z"
"ABAT","HGNC:23","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABAT&subject=","2016-08-22T17:45:36Z"
"ABCB11","HGNC:42","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABCB11&subject=","2020-07-08T16:37:14Z"
"ABCC8","HGNC:59","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABCC8&subject=","2012-02-24T14:52:51Z"
"ABCD1","HGNC:61","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABCD1&subject=","2020-12-02T17:18:11Z"
"ABCG5","HGNC:13886","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABCG5&subject=","2016-08-22T17:45:37Z"
"ABCG8","HGNC:13887","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABCG8&subject=","2016-08-22T17:45:38Z"
"ABHD12","HGNC:15868","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABHD12&subject=","2014-12-11T15:50:44Z"
"ABR","HGNC:81","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABR&subject=","2012-09-05T14:36:50Z"
"ABRAXAS1","HGNC:25829","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABRAXAS1&subject=","2021-04-14T16:12:21Z"
"ACAD8","HGNC:87","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACAD8&subject=","2014-12-11T15:51:48Z"
