Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
CD3d deficiency	CD3D	AR	NA	186790	Very low	Normal	Low	Normal	No g/d T cells	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/CD3D	ensembl.org/CD3D	omim.org/CD3D	GWAS/CD3D	omni/CD3D	gnomad.org/r2CD3D	gnomad.org/r3CD3D	rcsb.org/CD3D	genenames.org/CD3D	hpo/ORPHA/CD3D	hpo.jax.org/CD3D	amigo.org/CD3D	alphafold/CD3D	gemma/CD3D	clinicalgenome.org/CD3D
CD3e deficiency	CD3E	AR	NA	186830	Very low	Normal	Low	Normal	No g/d T cells	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/CD3E	ensembl.org/CD3E	omim.org/CD3E	GWAS/CD3E	omni/CD3E	gnomad.org/r2CD3E	gnomad.org/r3CD3E	rcsb.org/CD3E	genenames.org/CD3E	hpo/ORPHA/CD3E	hpo.jax.org/CD3E	amigo.org/CD3E	alphafold/CD3E	gemma/CD3E	clinicalgenome.org/CD3E
CD3z deficiency	CD3Z	AR	NA	186780	Very low	Normal	Low	Normal	No g/d T cells	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/CD3Z	ensembl.org/CD3Z	omim.org/CD3Z	GWAS/CD3Z	omni/CD3Z	gnomad.org/r2CD3Z	gnomad.org/r3CD3Z	rcsb.org/CD3Z	genenames.org/CD3Z	hpo/ORPHA/CD3Z	hpo.jax.org/CD3Z	amigo.org/CD3Z	alphafold/CD3Z	gemma/CD3Z	clinicalgenome.org/CD3Z
Coronin-1A deficiency	CORO1A	AR	NA	605000	Very low	Normal	Low	Normal	NA	Detectable thymus, EBV	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/CORO1A	ensembl.org/CORO1A	omim.org/CORO1A	GWAS/CORO1A	omni/CORO1A	gnomad.org/r2CORO1A	gnomad.org/r3CORO1A	rcsb.org/CORO1A	genenames.org/CORO1A	hpo/ORPHA/CORO1A	hpo.jax.org/CORO1A	amigo.org/CORO1A	alphafold/CORO1A	gemma/CORO1A	clinicalgenome.org/CORO1A
gc deficiency common gamma chain SCID, CD132 deficiency	IL2RG	XL	NA	308380	Very low	Normal to high	Low	Normal	Low NK	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/IL2RG	ensembl.org/IL2RG	omim.org/IL2RG	GWAS/IL2RG	omni/IL2RG	gnomad.org/r2IL2RG	gnomad.org/r3IL2RG	rcsb.org/IL2RG	genenames.org/IL2RG	hpo/ORPHA/IL2RG	hpo.jax.org/IL2RG	amigo.org/IL2RG	alphafold/IL2RG	gemma/IL2RG	clinicalgenome.org/IL2RG
IL7Ra deficiency	IL7R	AR	NA	146661	Very low	Normal to high	Low	Normal	NA	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/IL7R	ensembl.org/IL7R	omim.org/IL7R	GWAS/IL7R	omni/IL7R	gnomad.org/r2IL7R	gnomad.org/r3IL7R	rcsb.org/IL7R	genenames.org/IL7R	hpo/ORPHA/IL7R	hpo.jax.org/IL7R	amigo.org/IL7R	alphafold/IL7R	gemma/IL7R	clinicalgenome.org/IL7R
ITPKB deficiency	ITPKB	AR	NA	NA	Very low	Normal	Low	Normal to low	Low Hb, low platelets, low neutrophils	FTT	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/ITPKB	ensembl.org/ITPKB	omim.org/ITPKB	GWAS/ITPKB	omni/ITPKB	gnomad.org/r2ITPKB	gnomad.org/r3ITPKB	rcsb.org/ITPKB	genenames.org/ITPKB	hpo/ORPHA/ITPKB	hpo.jax.org/ITPKB	amigo.org/ITPKB	alphafold/ITPKB	gemma/ITPKB	clinicalgenome.org/ITPKB
JAK3 deficiency	JAK3	AR	NA	600173	Very low	Normal to high	Low	Normal	Low NK	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/JAK3	ensembl.org/JAK3	omim.org/JAK3	GWAS/JAK3	omni/JAK3	gnomad.org/r2JAK3	gnomad.org/r3JAK3	rcsb.org/JAK3	genenames.org/JAK3	hpo/ORPHA/JAK3	hpo.jax.org/JAK3	amigo.org/JAK3	alphafold/JAK3	gemma/JAK3	clinicalgenome.org/JAK3
LAT deficiency	LAT	AR	NA	602354	Nl to low number	Nl to low	High	Normal	NA	Adenopathy, splenomegaly, recurrent infections, autoimmunity	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/LAT	ensembl.org/LAT	omim.org/LAT	GWAS/LAT	omni/LAT	gnomad.org/r2LAT	gnomad.org/r3LAT	rcsb.org/LAT	genenames.org/LAT	hpo/ORPHA/LAT	hpo.jax.org/LAT	amigo.org/LAT	alphafold/LAT	gemma/LAT	clinicalgenome.org/LAT
PAX1 deficiency	PAX1	AR	NA	NA	Very low	Normal	Low	Normal	NA	Athymia, otofaciocervical syndrome	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/PAX1	ensembl.org/PAX1	omim.org/PAX1	GWAS/PAX1	omni/PAX1	gnomad.org/r2PAX1	gnomad.org/r3PAX1	rcsb.org/PAX1	genenames.org/PAX1	hpo/ORPHA/PAX1	hpo.jax.org/PAX1	amigo.org/PAX1	alphafold/PAX1	gemma/PAX1	clinicalgenome.org/PAX1
CD45 deficiency	PTPRC	AR	NA	151460	Very low	Normal	Low	Normal	NA	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/PTPRC	ensembl.org/PTPRC	omim.org/PTPRC	GWAS/PTPRC	omni/PTPRC	gnomad.org/r2PTPRC	gnomad.org/r3PTPRC	rcsb.org/PTPRC	genenames.org/PTPRC	hpo/ORPHA/PTPRC	hpo.jax.org/PTPRC	amigo.org/PTPRC	alphafold/PTPRC	gemma/PTPRC	clinicalgenome.org/PTPRC
SLP76 deficiency	SLP76	AR	NA	NA	Low T cells- mainly TEMRA and oligoconal	Normal	Low	Normal but dysfunctional	Reduced NK degranulation, platelet dysfunction	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403	uniprot.org/SLP76	ensembl.org/SLP76	omim.org/SLP76	GWAS/SLP76	omni/SLP76	gnomad.org/r2SLP76	gnomad.org/r3SLP76	rcsb.org/SLP76	genenames.org/SLP76	hpo/ORPHA/SLP76	hpo.jax.org/SLP76	amigo.org/SLP76	alphafold/SLP76	gemma/SLP76	clinicalgenome.org/SLP76
Adenosine deaminase ADA deficiency	ADA	AR	NA	608958	Very low	Low, decreasing	Low	Normal	Low NK	Low NK, bone defects, may have pulmonary alveolar proteinosis, cognitive defects	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.3	HP:0002715	HP:0005403	uniprot.org/ADA	ensembl.org/ADA	omim.org/ADA	GWAS/ADA	omni/ADA	gnomad.org/r2ADA	gnomad.org/r3ADA	rcsb.org/ADA	genenames.org/ADA	hpo/ORPHA/ADA	hpo.jax.org/ADA	amigo.org/ADA	alphafold/ADA	gemma/ADA	clinicalgenome.org/ADA
Reticular dysgenesis	AK2	AR	NA	103020	Very low	Nl to low	Low	Low	NA	Deafness	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.0	HP:0002715	HP:0005403	uniprot.org/AK2	ensembl.org/AK2	omim.org/AK2	GWAS/AK2	omni/AK2	gnomad.org/r2AK2	gnomad.org/r3AK2	rcsb.org/AK2	genenames.org/AK2	hpo/ORPHA/AK2	hpo.jax.org/AK2	amigo.org/AK2	alphafold/AK2	gemma/AK2	clinicalgenome.org/AK2
DCLRE1C Artemis deficiency	DCLRE1C	AR	NA	605988	Very low	Very low	Low	Normal	NA	Radiation sensitive	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403	uniprot.org/DCLRE1C	ensembl.org/DCLRE1C	omim.org/DCLRE1C	GWAS/DCLRE1C	omni/DCLRE1C	gnomad.org/r2DCLRE1C	gnomad.org/r3DCLRE1C	rcsb.org/DCLRE1C	genenames.org/DCLRE1C	hpo/ORPHA/DCLRE1C	hpo.jax.org/DCLRE1C	amigo.org/DCLRE1C	alphafold/DCLRE1C	gemma/DCLRE1C	clinicalgenome.org/DCLRE1C
DNA ligase IV deficiency	LIG4	AR	NA	601837	Very low	Very low	Low	Normal	NA	Radiation sensitive, microcephaly	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403	uniprot.org/LIG4	ensembl.org/LIG4	omim.org/LIG4	GWAS/LIG4	omni/LIG4	gnomad.org/r2LIG4	gnomad.org/r3LIG4	rcsb.org/LIG4	genenames.org/LIG4	hpo/ORPHA/LIG4	hpo.jax.org/LIG4	amigo.org/LIG4	alphafold/LIG4	gemma/LIG4	clinicalgenome.org/LIG4
Cernunnos/XLF deficiency	NHEJ1	AR	NA	611290	Very low	Very low	Low	Normal	NA	Radiation sensitive, microcephaly	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403	uniprot.org/NHEJ1	ensembl.org/NHEJ1	omim.org/NHEJ1	GWAS/NHEJ1	omni/NHEJ1	gnomad.org/r2NHEJ1	gnomad.org/r3NHEJ1	rcsb.org/NHEJ1	genenames.org/NHEJ1	hpo/ORPHA/NHEJ1	hpo.jax.org/NHEJ1	amigo.org/NHEJ1	alphafold/NHEJ1	gemma/NHEJ1	clinicalgenome.org/NHEJ1
