# blastn
# Iteration: 0
# Query: Forward_AF013254.1
# RID: XGYK6RVT114
# Database: n/a
# 527 hits found
query acc.ver	subject acc.ver	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
Forward_AF013254.1	MK481079.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MK481079.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MK481079.1	100.000	8	0	0	4	11	2568	2561	780	16.4
Forward_AF013254.1	MK481079.1	100.000	8	0	0	4	11	2755	2762	780	16.4
Forward_AF013254.1	MK481079.1	100.000	8	0	0	1	8	3270	3277	780	16.4
Forward_AF013254.1	MK481079.1	100.000	8	0	0	3	10	6231	6238	780	16.4
Forward_AF013254.1	MK481079.1	100.000	8	0	0	1	8	11402	11409	780	16.4
Forward_AF013254.1	MK534512.1	95.000	20	1	0	1	20	1786	1805	0.013	32.2
Forward_AF013254.1	MK534512.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MK534512.1	100.000	8	0	0	4	11	2566	2559	780	16.4
Forward_AF013254.1	MK534512.1	100.000	8	0	0	4	11	2753	2760	780	16.4
Forward_AF013254.1	MK534512.1	100.000	8	0	0	1	8	3269	3276	780	16.4
Forward_AF013254.1	MK534512.1	100.000	8	0	0	3	10	6230	6237	780	16.4
Forward_AF013254.1	MK534512.1	100.000	8	0	0	1	8	11401	11408	780	16.4
Forward_AF013254.1	MK534511.1	95.000	20	1	0	1	20	1786	1805	0.013	32.2
Forward_AF013254.1	MK534511.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MK534511.1	100.000	8	0	0	4	11	2566	2559	780	16.4
Forward_AF013254.1	MK534511.1	100.000	8	0	0	4	11	2753	2760	780	16.4
Forward_AF013254.1	MK534511.1	100.000	8	0	0	1	8	3269	3276	780	16.4
Forward_AF013254.1	MK534511.1	100.000	8	0	0	3	10	6230	6237	780	16.4
Forward_AF013254.1	MK534511.1	100.000	8	0	0	1	8	11401	11408	780	16.4
Forward_AF013254.1	MK534510.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MK534510.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MK534510.1	100.000	8	0	0	4	11	2568	2561	780	16.4
Forward_AF013254.1	MK534510.1	100.000	8	0	0	4	11	2755	2762	780	16.4
Forward_AF013254.1	MK534510.1	100.000	8	0	0	1	8	3270	3277	780	16.4
Forward_AF013254.1	MK534510.1	100.000	8	0	0	3	10	6231	6238	780	16.4
Forward_AF013254.1	MK534510.1	100.000	8	0	0	1	8	11402	11409	780	16.4
Forward_AF013254.1	LC495297.1	95.000	20	1	0	1	20	1841	1860	0.013	32.2
Forward_AF013254.1	LC495297.1	100.000	8	0	0	11	18	257	250	780	16.4
Forward_AF013254.1	LC495297.1	100.000	8	0	0	4	11	2621	2614	780	16.4
Forward_AF013254.1	LC495297.1	100.000	8	0	0	4	11	2808	2815	780	16.4
Forward_AF013254.1	LC495297.1	100.000	8	0	0	1	8	3325	3332	780	16.4
Forward_AF013254.1	LC495297.1	100.000	8	0	0	3	10	6287	6294	780	16.4
Forward_AF013254.1	LC495297.1	100.000	8	0	0	1	8	11459	11466	780	16.4
Forward_AF013254.1	MN310477.1	95.000	20	1	0	1	20	1850	1869	0.013	32.2
Forward_AF013254.1	MN310477.1	100.000	8	0	0	4	11	2629	2622	780	16.4
Forward_AF013254.1	MN310477.1	100.000	8	0	0	4	11	13277	13284	780	16.4
Forward_AF013254.1	MN306054.1	95.000	20	1	0	1	20	1842	1861	0.013	32.2
Forward_AF013254.1	MN306054.1	100.000	8	0	0	4	11	2622	2615	780	16.4
Forward_AF013254.1	MN306054.1	100.000	8	0	0	4	11	4276	4269	780	16.4
Forward_AF013254.1	MN306054.1	100.000	8	0	0	1	8	11386	11393	780	16.4
Forward_AF013254.1	MN306054.1	100.000	8	0	0	4	11	13269	13276	780	16.4
Forward_AF013254.1	MN306050.1	95.000	20	1	0	1	20	1867	1886	0.013	32.2
Forward_AF013254.1	MN306050.1	100.000	8	0	0	4	11	2646	2639	780	16.4
Forward_AF013254.1	MN306050.1	100.000	8	0	0	4	11	13293	13300	780	16.4
Forward_AF013254.1	MN306048.1	95.000	20	1	0	1	20	1869	1888	0.013	32.2
Forward_AF013254.1	MN306048.1	100.000	9	0	0	3	11	13858	13866	197	18.3
Forward_AF013254.1	MN306048.1	100.000	8	0	0	4	11	2648	2641	780	16.4
Forward_AF013254.1	MN306048.1	100.000	8	0	0	4	11	13369	13376	780	16.4
Forward_AF013254.1	MN306045.1	95.000	20	1	0	1	20	1835	1854	0.013	32.2
Forward_AF013254.1	MN306045.1	100.000	8	0	0	4	11	2614	2607	780	16.4
Forward_AF013254.1	MN306045.1	100.000	8	0	0	4	11	13334	13341	780	16.4
Forward_AF013254.1	MN306044.1	95.000	20	1	0	1	20	1845	1864	0.013	32.2
Forward_AF013254.1	MN306044.1	100.000	8	0	0	11	18	261	254	780	16.4
Forward_AF013254.1	MN306044.1	100.000	8	0	0	4	11	2625	2618	780	16.4
Forward_AF013254.1	MN306044.1	100.000	8	0	0	4	11	2812	2819	780	16.4
Forward_AF013254.1	MN306044.1	100.000	8	0	0	1	8	3328	3335	780	16.4
Forward_AF013254.1	MN306044.1	100.000	8	0	0	3	10	6289	6296	780	16.4
Forward_AF013254.1	MN306044.1	100.000	8	0	0	1	8	11460	11467	780	16.4
Forward_AF013254.1	MN306031.1	95.000	20	1	0	1	20	1852	1871	0.013	32.2
Forward_AF013254.1	MN306031.1	100.000	8	0	0	4	11	2632	2625	780	16.4
Forward_AF013254.1	MN306031.1	100.000	8	0	0	4	11	4286	4279	780	16.4
Forward_AF013254.1	MN306031.1	100.000	8	0	0	1	8	11468	11475	780	16.4
Forward_AF013254.1	MN306031.1	100.000	8	0	0	4	11	13351	13358	780	16.4
Forward_AF013254.1	MN306030.1	95.000	20	1	0	1	20	1868	1887	0.013	32.2
Forward_AF013254.1	MN306030.1	100.000	8	0	0	4	11	2648	2641	780	16.4
Forward_AF013254.1	MN306030.1	100.000	8	0	0	4	11	4302	4295	780	16.4
Forward_AF013254.1	MN306030.1	100.000	8	0	0	1	8	11484	11491	780	16.4
Forward_AF013254.1	MN306030.1	100.000	8	0	0	4	11	13367	13374	780	16.4
Forward_AF013254.1	MN306029.1	95.000	20	1	0	1	20	1825	1844	0.013	32.2
Forward_AF013254.1	MN306029.1	100.000	8	0	0	4	11	2604	2597	780	16.4
Forward_AF013254.1	MN306029.1	100.000	8	0	0	4	11	13325	13332	780	16.4
Forward_AF013254.1	MN306021.1	95.000	20	1	0	1	20	1825	1844	0.013	32.2
Forward_AF013254.1	MN306021.1	100.000	8	0	0	4	11	2604	2597	780	16.4
Forward_AF013254.1	MN306021.1	100.000	8	0	0	4	11	13325	13332	780	16.4
Forward_AF013254.1	MN306017.1	95.000	20	1	0	1	20	1869	1888	0.013	32.2
Forward_AF013254.1	MN306017.1	100.000	8	0	0	4	11	2648	2641	780	16.4
Forward_AF013254.1	MN306017.1	100.000	8	0	0	4	11	13368	13375	780	16.4
Forward_AF013254.1	LC530050.1	95.000	20	1	0	1	20	1857	1876	0.013	32.2
Forward_AF013254.1	LC530050.1	100.000	8	0	0	4	11	2636	2629	780	16.4
Forward_AF013254.1	LC530050.1	100.000	8	0	0	4	11	13357	13364	780	16.4
Forward_AF013254.1	LC530050.1	100.000	8	0	0	6	13	14856	14863	780	16.4
Forward_AF013254.1	MT107528.1	95.000	20	1	0	1	20	1911	1930	0.013	32.2
Forward_AF013254.1	MT107528.1	100.000	8	0	0	11	18	327	320	780	16.4
Forward_AF013254.1	MT107528.1	100.000	8	0	0	4	11	2691	2684	780	16.4
Forward_AF013254.1	MT107528.1	100.000	8	0	0	4	11	2878	2885	780	16.4
Forward_AF013254.1	MT107528.1	100.000	8	0	0	1	8	3394	3401	780	16.4
Forward_AF013254.1	MT107528.1	100.000	8	0	0	3	10	6355	6362	780	16.4
Forward_AF013254.1	MT107528.1	100.000	8	0	0	1	8	11526	11533	780	16.4
Forward_AF013254.1	MT373705.1	95.000	20	1	0	1	20	1787	1806	0.013	32.2
Forward_AF013254.1	MT373705.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MT373705.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT373705.1	100.000	8	0	0	4	11	2754	2761	780	16.4
Forward_AF013254.1	MT373705.1	100.000	8	0	0	1	8	3270	3277	780	16.4
Forward_AF013254.1	MT373705.1	100.000	8	0	0	3	10	6231	6238	780	16.4
Forward_AF013254.1	MT373705.1	100.000	8	0	0	1	8	11402	11409	780	16.4
Forward_AF013254.1	MT373704.1	95.000	20	1	0	1	20	1787	1806	0.013	32.2
Forward_AF013254.1	MT373704.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MT373704.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT373704.1	100.000	8	0	0	4	11	2754	2761	780	16.4
Forward_AF013254.1	MT373704.1	100.000	8	0	0	1	8	3270	3277	780	16.4
Forward_AF013254.1	MT373704.1	100.000	8	0	0	3	10	6231	6238	780	16.4
Forward_AF013254.1	MT373704.1	100.000	8	0	0	1	8	11402	11409	780	16.4
Forward_AF013254.1	MT373703.1	95.000	20	1	0	1	20	1787	1806	0.013	32.2
Forward_AF013254.1	MT373703.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MT373703.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT373703.1	100.000	8	0	0	4	11	2754	2761	780	16.4
Forward_AF013254.1	MT373703.1	100.000	8	0	0	1	8	3270	3277	780	16.4
Forward_AF013254.1	MT373703.1	100.000	8	0	0	3	10	6231	6238	780	16.4
Forward_AF013254.1	MT373703.1	100.000	8	0	0	1	8	11402	11409	780	16.4
Forward_AF013254.1	MT422273.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MT422273.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT422273.1	100.000	8	0	0	4	11	13288	13295	780	16.4
Forward_AF013254.1	MT422272.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MT422272.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT422272.1	100.000	8	0	0	4	11	13288	13295	780	16.4
Forward_AF013254.1	MT422271.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MT422271.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT422271.1	100.000	8	0	0	4	11	13288	13295	780	16.4
Forward_AF013254.1	MT422270.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MT422270.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT422270.1	100.000	8	0	0	4	11	13290	13297	780	16.4
Forward_AF013254.1	MT422269.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MT422269.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MT422269.1	100.000	8	0	0	4	11	13290	13297	780	16.4
Forward_AF013254.1	MW020597.1	95.000	20	1	0	1	20	1844	1863	0.013	32.2
Forward_AF013254.1	MW020597.1	100.000	8	0	0	4	11	2623	2616	780	16.4
Forward_AF013254.1	MW020597.1	100.000	8	0	0	4	11	13341	13348	780	16.4
Forward_AF013254.1	MW020596.1	95.000	20	1	0	1	20	1844	1863	0.013	32.2
Forward_AF013254.1	MW020596.1	100.000	8	0	0	4	11	2623	2616	780	16.4
