Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
LC654414,,"Kasuya,F., Mori,K., Suzuki,J., Sadamasu,K.",2021-10-20T00:00:00Z,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,,Japan:Tokyo,Japan,,Homo sapiens,,2021-06,,"Human respiratory syncytial virus A RSVA/TKY210092/2021 gene for attachment glycoprotein, partial cds"
LC654415,,"Kasuya,F., Mori,K., Suzuki,J., Sadamasu,K.",2021-10-20T00:00:00Z,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,,Japan:Tokyo,Japan,,Homo sapiens,,2021-07,,"Human respiratory syncytial virus A RSVA/TKY210101/2021 gene for attachment glycoprotein, partial cds"
LC654416,,"Kasuya,F., Mori,K., Suzuki,J., Sadamasu,K.",2021-10-20T00:00:00Z,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),315,GenBank,partial,,,,Japan:Tokyo,Japan,,Homo sapiens,,2021-05,,"Human respiratory syncytial virus B RSVB/TKY210049/2021 gene for attachment glycoprotein, partial cds"
MW620481,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,10224-A-Apr18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-04,,"Human respiratory syncytial virus A isolate 10224-A-Apr18 attachment glycoprotein (G) gene, partial cds"
MW620482,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,10225-A-Apr18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-04,,"Human respiratory syncytial virus A isolate 10225-A-Apr18 attachment glycoprotein (G) gene, partial cds"
MW620483,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11177-May19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11177-May19-severe attachment glycoprotein (G) gene, partial cds"
MW620484,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11222-May19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11222-May19 attachment glycoprotein (G) gene, partial cds"
MW620485,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11238-A-Apr18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-04,,"Human respiratory syncytial virus A isolate 11238-A-Apr18 attachment glycoprotein (G) gene, partial cds"
MW620486,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11627-May19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11627-May19 attachment glycoprotein (G) gene, partial cds"
MW620487,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11823-May19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11823-May19-severe attachment glycoprotein (G) gene, partial cds"
MW620488,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11829-May19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11829-May19 attachment glycoprotein (G) gene, partial cds"
MW620489,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11920-May19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11920-May19-severe attachment glycoprotein (G) gene, partial cds"
