Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACD	gene	ACD	Expert Review Green;GRID V2.0;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Dyskeratosis congenita, autosomal dominant 6, OMIM:616553;Dyskeratosis congenita, autosomal recessive 7, OMIM:616553				25205116;25233904		False	3	100;0;0	2.465	False		ENSG00000102977	ENSG00000102977	HGNC:25070													
ACP5	gene	ACP5	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Spondyloenchondrodysplasia with immune dysregulation Type 1 interferonopathies;Spondyloenchondrodysplasia with immune dysregulation, 607944;Type 1 interferonopathies;Short stature, SP, ICC, SLE, thrombocytopenia and autoimmune hemolytic anemia, possibly recurrent bacterial and viral infections;Autoinflammatory Disorders				21217755;26789720;21217752;18924170;26951490;26346816		False	3	100;0;0	2.465	False		ENSG00000102575	ENSG00000102575	HGNC:124													
ADA	gene	ADA	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency due to ADA deficiency (some mosiacism noted);Severe combined immunodeficiency due to ADA deficiency, 102700;T-B- SCID;T-B+ SCID;Adenosine deaminase (ADA) deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Low NK, bone defects, may have pulmonary alveolar proteinosis, cognitive defects;Immunodeficiencies affecting cellular and humoral immunity				3475710;6134754;8227344;2567118;6200875;2166947		False	3	100;0;0	2.465	False		ENSG00000196839	ENSG00000196839	HGNC:186													
ADA2	gene	ADA2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Polyarteritis nodosa;Polyarteritis nodosa, childhood-onset, 615688;ADA2 deficiency;Deficiency of ADA2 (DADA2);Other autoinflammatory diseases with known genetic defect;Fever with early onset stroke;combined immunodeficiency;Evans' syndrome;Polyarteritis nodosa, childhood-onset, early-onset recurrent ischemic stroke and fever;Autoinflammatory Disorders				24552284;24552285;29564582;27059682;26922074;27444081		False	3	100;0;0	2.465	False		ENSG00000093072	ENSG00000093072	HGNC:1839													
ADAR	gene	ADAR	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Fever Syndromes and Related Diseases, Aicardi-Goutieres syndrome 6, 615010;AGS6;Type 1 interferonopathies;Classical AGS, BSN, SP;Autoinflammatory Disorders				24183309;27643693;25604658;25769924;24262145;23001123		False	3	100;0;0	2.465	False		ENSG00000160710	ENSG00000160710	HGNC:225													
AICDA	gene	AICDA	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency with hyper-IgM, type 2;Hyper IgM syndrome with lymphoid hyperplasia;Immunodeficiency with hyper-IgM, type 2, 605258;Primary Immune Deficiencies;CSR defects and Hyper IgM (HIGM) syndromes;Bacterial infections, enlarged lymph nodes and germinal centers;Predominantly Antibody Deficiencies				12958596;21700883;27701145		False	3	100;0;0	2.465	False		ENSG00000111732	ENSG00000111732	HGNC:13203													
AIRE	gene	AIRE	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Autoimmune polyendocrinopathy syndrome, type I, with or without reversible metaphyseal dysplasia, 240300;Chronic mucocutaneous candidiasis (CMC);Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy (APECED);Autoimmune hypoparathyroidism chronic candidiasis Addison disease syndrome;Hypoparathyroidism Addison disease mucocutaneous candidiasis syndrome;Multiple endocrine deficiency Addison disease candidiasis syndrome;Autoimmunity: hypoparathyroidism hypothyroidism, adrenal insufficiency, diabetes, gonadal dysfunction and other endocrine abnormalities, chronic mucocutaneous candidiasis, dental enamel hypoplasia, alopecia areata enteropathy, pernicious anemia;Diseases of Immune Dysregulation				19758376;29949487;29108822;28257655;19807739;10677297;9398839;11600535;29483906;9888391;28911151;9735375;11836330;29437776;9837820;30565240		False	3	100;0;0	2.465	False		ENSG00000160224	ENSG00000160224	HGNC:360													
AK2	gene	AK2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Reticular dysgenesis with sensorineural deafness;Reticular dysgenesis, 267500;Reticular dysgenesis, AK2 deficiency;Reticular Dysgenesis AK2 (SCID);Granulocytopenia and deafness;Immunodeficiencies affecting cellular and humoral immunity				19043416;19043417		False	3	100;0;0	2.465	False		ENSG00000004455	ENSG00000004455	HGNC:362													
AP3B1	gene	AP3B1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hermansky-Pudlak syndrome 2;HPS2;Hermansky-Pudlak syndrome, 608233;Immunodeficient HPS;Hermansky-Pudlak syndrome with neutropenia;Partial albinism, recurrent infections, pulmonary fibrosis, increased bleeding, neutropenia, HLH;Diseases of Immune Dysregulation				19679886;11809908;10024875;16551969;16537806;16507770;28585318;30974211;23403622;8042664;14566336		False	3	100;0;0	2.465	False		ENSG00000132842	ENSG00000132842	HGNC:566													
ARPC1B	gene	ARPC1B	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia, OMIM:617718;Combined immune deficiency with or without thrombocytopenia;Inflammatory predisposition				28368018;29127144;27965109;33679784		False	3	100;0;0	2.465	False		ENSG00000130429	ENSG00000130429	HGNC:704													
