seqName,errors,warnings,failedGenes
"LC654416.1 |Human respiratory syncytial virus B RSVB/TKY210049/2021 gene for attachment glycoprotein, partial cds","Unable to align: no seed matches","","<<ALL>>"
"LC654415.1 |Human respiratory syncytial virus A RSVA/TKY210101/2021 gene for attachment glycoprotein, partial cds","","",""
"MW620481.1 |Human respiratory syncytial virus A isolate 10224-A-Apr18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620482.1 |Human respiratory syncytial virus A isolate 10225-A-Apr18 attachment glycoprotein (G) gene, partial cds","","",""
"LC654414.1 |Human respiratory syncytial virus A RSVA/TKY210092/2021 gene for attachment glycoprotein, partial cds","","",""
"MW620483.1 |Human respiratory syncytial virus A isolate 11177-May19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620484.1 |Human respiratory syncytial virus A isolate 11222-May19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620485.1 |Human respiratory syncytial virus A isolate 11238-A-Apr18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620486.1 |Human respiratory syncytial virus A isolate 11627-May19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620488.1 |Human respiratory syncytial virus A isolate 11829-May19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620489.1 |Human respiratory syncytial virus A isolate 11920-May19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620487.1 |Human respiratory syncytial virus A isolate 11823-May19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620492.1 |Human respiratory syncytial virus A isolate 12073-A-May18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620493.1 |Human respiratory syncytial virus A isolate 12623-A-May18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620491.1 |Human respiratory syncytial virus A isolate 11933-May19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620494.1 |Human respiratory syncytial virus A isolate 12715-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620495.1 |Human respiratory syncytial virus A isolate 12726-Jun19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620496.1 |Human respiratory syncytial virus A isolate 13061-Jun19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620497.1 |Human respiratory syncytial virus A isolate 13185-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620498.1 |Human respiratory syncytial virus A isolate 13190-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620499.1 |Human respiratory syncytial virus A isolate 13234-A-May18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620500.1 |Human respiratory syncytial virus A isolate 13709-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620501.1 |Human respiratory syncytial virus A isolate 13710-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620502.1 |Human respiratory syncytial virus A isolate 13732-Jun19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620503.1 |Human respiratory syncytial virus A isolate 13735-A-May18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620504.1 |Human respiratory syncytial virus A isolate 13751-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620505.1 |Human respiratory syncytial virus A isolate 13881-Jun19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620506.1 |Human respiratory syncytial virus A isolate 14005-Jun19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620507.1 |Human respiratory syncytial virus A isolate 14006-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620508.1 |Human respiratory syncytial virus A isolate 14035-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620490.1 |Human respiratory syncytial virus A isolate 11931-May19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620509.1 |Human respiratory syncytial virus A isolate 14192-A-May18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620510.1 |Human respiratory syncytial virus A isolate 14540-Jun19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620511.1 |Human respiratory syncytial virus A isolate 14552-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620513.1 |Human respiratory syncytial virus A isolate 14679-Jun19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620514.1 |Human respiratory syncytial virus A isolate 14942-A-May18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620515.1 |Human respiratory syncytial virus A isolate 15104-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620516.1 |Human respiratory syncytial virus A isolate 15131-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620517.1 |Human respiratory syncytial virus A isolate 15145-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620518.1 |Human respiratory syncytial virus A isolate 15167-Jul19 attachment glycoprotein (G) gene, partial cds","","",""
